Name,total_score,mae_task1,mae_task2,mae_combined,candidate_no,DROP_COLUMNS,NORMALIZATIONS,HIDDEN_LAYERS,iterations,solver,lr_init,momentum,lr
Candidat_690441,100,0.339968033,0.333304325,0.673272358,690441,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.99,adaptive
Candidat_690442,100,0.339968033,0.333304325,0.673272358,690442,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.95,constant
Candidat_690443,100,0.339968033,0.333304325,0.673272358,690443,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.95,invscaling
Candidat_690444,100,0.339968033,0.333304325,0.673272358,690444,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.95,adaptive
Candidat_690445,100,0.339968033,0.333304325,0.673272358,690445,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.9,constant
Candidat_690446,100,0.339968033,0.333304325,0.673272358,690446,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.9,invscaling
Candidat_690447,100,0.339968033,0.333304325,0.673272358,690447,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.9,adaptive
Candidat_690448,100,0.339968033,0.333304325,0.673272358,690448,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.85,constant
Candidat_690449,100,0.339968033,0.333304325,0.673272358,690449,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.85,invscaling
Candidat_690450,100,0.339968033,0.333304325,0.673272358,690450,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.85,adaptive
Candidat_733261,100,0.358557295,0.332853736,0.691411032,733261,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,1,constant
Candidat_733262,100,0.358557295,0.332853736,0.691411032,733262,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,1,invscaling
Candidat_733266,100,0.358557295,0.332853736,0.691411032,733266,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.99,adaptive
Candidat_733267,100,0.358557295,0.332853736,0.691411032,733267,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.95,constant
Candidat_733268,100,0.358557295,0.332853736,0.691411032,733268,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.95,invscaling
Candidat_733269,100,0.358557295,0.332853736,0.691411032,733269,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0005,0.95,adaptive
